msoa11cd,house_price_median_yrto_dec_95,house_price_median_yrto_sep_21,house_price_mean_median_1995to2000,house_price_mean_median_2017to2021
E02004913,115000,410000,131523.2894736842,366889.34210526315
E02004914,56500,373500,59520,344417.1052631579
E02004915,46495,295000,52285.65789473684,293539.4736842105
E02004916,100000,516250,116698.57894736843,462154
E02004917,97250,350000,81024.6052631579,316923.6842105263
E02004918,56000,425000,62634.47368421053,369335.2631578947
E02004919,55500,417500,67576.18421052632,360663.15789473685
E02004920,76682.5,410000,83013.94736842105,366300
E02004921,66750,450000,76933.15789473684,416829.05263157893
E02004922,84500,472500,114365.78947368421,470755.2631578947
E02004923,89000,482250,94377.63157894737,439834.6052631579
E02005570,52950,315000,58951.5,274801.05263157893
E02005571,65000,464500,76701.31578947368,443436.63157894736
E02005572,47250,280000,50097.36842105263,230552.36842105264
E02005573,65000,400000,70998.28947368421,335087.5
E02005574,53000,320000,59613.15789473684,290209.2105263158
E02005575,59950,330000,65072.36842105263,286531.5789473684
E02005576,53000,289500,58567.10526315789,249390.7894736842
E02005577,46000,285000,52510.52631578947,242322.6052631579
E02005578,47950,271000,45034,227723.68421052632
E02005579,45000,230000,49978.81578947369,213636.31578947368
E02005580,45950,237500,51792.10526315789,203469.73684210525
E02005581,48325,265000,58419.60526315789,213199.65789473685
E02005582,42000,236250,46480.26315789474,195802.1052631579
E02005583,60500,328000,73193.42105263157,281026.3157894737
E02005584,34000,185000,36013.15789473684,170460.52631578947
E02005585,35375,195000,38030.26315789474,177760.52631578947
E02005586,33500,195000,37706.57894736842,178697.36842105264
E02005587,40000,195000,45915.78947368421,184578.94736842104
E02005588,37500,206500,42840.52631578947,193236.84210526315
E02005589,39750,210000,43161.84210526316,194138.2894736842
E02005590,35500,209000,40531.60526315789,171176.31578947368
E02005592,46000,270000,52492.10526315789,257207.8947368421
E02005593,43750,273500,49610.39473684211,265092.1052631579
E02005594,43250,265000,53633.42105263158,238944.05263157896
E02005595,67500,400000,74038.15789473684,304068.4210526316
E02005596,36000,207000,42086.84210526316,188592.1052631579
E02006907,30725,210000,40975,185782.8947368421
E02006908,37500,195000,41671.84210526316,174006.57894736843
E02003237,51000,315000,59570.65789473684,249578.94736842104
E02003238,44750,217000,49438.13157894737,185921.05263157896
E02003239,48500,236950,55118.28947368421,220979.86842105264
E02003240,66400,372500,95847.1052631579,302776.3157894737
E02003241,42750,220000,49924.60526315789,209209.73684210525
E02003242,46750,230000,50840.26315789474,197447.36842105264
E02003243,33500,180000,34069.73684210526,165010.52631578947
E02003244,43400.5,185000,44030.47368421053,172605.26315789475
E02003245,31125,155000,30828.394736842107,140500
E02003246,33500,150000,35424.97368421053,137897.36842105264
E02003247,34000,164500,35949.07894736842,154697.36842105264
E02003248,45000,232000,51455.97368421053,191281.57894736843
E02003249,43995,170000,43630.55263157895,150953.94736842104
E02003250,33600,140000,36886.84210526316,126707.8947368421
E02003251,74750,350000,78485.3947368421,280736.84210526315
E02003252,37500,207500,40110.26315789474,192104.6052631579
E02003253,39500,180000,39193.42105263158,166960.3947368421
E02003254,60000,279500,69110.78947368421,246322.36842105264
E02003255,49000,220000,57433.42105263158,205735.13157894736
E02003257,31000,155000,31397.63157894737,138644.73684210525
E02006877,53375,231000,66518.94736842105,213287.5
E02006878,38625,255000,50208.42105263158,236957.5
E02004563,57000,370500,71578.94736842105,336052.63157894736
E02004564,62500,342500,73825.78947368421,328249.86842105264
E02004565,65750,410000,74692.76315789473,367394.7368421053
E02004566,63500,285000,62897.26315789474,276486.7105263158
E02004567,73500,397500,79105.26315789473,364684.0789473684
E02004568,62950,365000,82059.92105263157,327039.4736842105
E02004569,50000,332995,60684.21052631579,305288.94736842107
E02004570,65000,393250,75867.8947368421,362105.2631578947
